Current projects as at 31 March 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring Authority,Sector,Region,Project Status,Date of OJEU,Date of Prefered Bidder,Date of Financial Close,Date of Construction Completion,First Date of Operations,Operational Period of Contract (years),On/Off Balance Sheet under IFRS,On/Off Balance Sheet under ESA ,On/Off Balance Sheet under UK GAAP,Capital Value (£m),Unitary Charge Payment 1992-93 (£m),Unitary Charge Payment 1993-94 (£m),Unitary Charge Payment 1994-95 (£m),Unitary Charge Payment 1995-96 (£m),Unitary Charge Payment 1996-97 (£m),Unitary Charge Payment 1997-98 (£m),Unitary Charge Payment 1998-99 (£m),Unitary Charge Payment 1999-00 (£m),Unitary Charge Payment 2000-01 (£m),Unitary Charge Payment 2001-02 (£m),Unitary Charge Payment 2002-03 (£m),Unitary Charge Payment 2003-04 (£m),Unitary Charge Payment 2004-05 (£m),Unitary Charge Payment 2005-06 (£m),Unitary Charge Payment 2006-07 (£m),Unitary Charge Payment 2007-08 (£m),Unitary Charge Payment 2008-09 (£m),Unitary Charge Payment 2009-10 (£m),Unitary Charge Payment 2010-11 (£m),Unitary Charge Payment 2011-12 (£m),Unitary Charge Payment 2012-13 (£m),Unitary Charge Payment 2013-14 (£m),Unitary Charge Payment 2014-15 (£m), Unitary Charge Payment 2015-16 (£m),Estimated Unitary Charge Payment 2016-17 (£m),Estimated Unitary Charge Payment 2017-18 (£m),Estimated Unitary Charge Payment 2018-19 (£m),Estimated Unitary Charge Payment 2019-20 (£m),Estimated Unitary Charge Payment 2020-21 (£m),Estimated Unitary Charge Payment 2021-22 (£m),Estimated Unitary Charge Payment 2022-23 (£m),Estimated Unitary Charge Payment 2023-24 (£m),Estimated Unitary Charge Payment 2024-25 (£m),Estimated Unitary Charge Payment 2025-26 (£m),Estimated Unitary Charge Payment 2026-27 (£m),Estimated Unitary Charge Payment 2027-28 (£m),Estimated Unitary Charge Payment 2028-29 (£m),Estimated Unitary Charge Payment 2029-30 (£m),Estimated Unitary Charge Payment 2030-31 (£m),Estimated Unitary Charge Payment 2031-32 (£m),Estimated Unitary Charge Payment 2032-33 (£m),Estimated Unitary Charge Payment 2033-34 (£m),Estimated Unitary Charge Payment 2034-35 (£m),Estimated Unitary Charge Payment 2035-36 (£m),Estimated Unitary Charge Payment 2036-37 (£m),Estimated Unitary Charge Payment 2037-38 (£m),Estimated Unitary Charge Payment 2038-39 (£m),Estimated Unitary Charge Payment 2039-40 (£m),Estimated Unitary Charge Payment 2040-41 (£m),Estimated Unitary Charge Payment 2041-42 (£m),Estimated Unitary Charge Payment 2042-43 (£m),Estimated Unitary Charge Payment 2043-44 (£m),Estimated Unitary Charge Payment 2044-45 (£m),Estimated Unitary Charge Payment 2045-46 (£m),Estimated Unitary Charge Payment 2046-47 (£m),Estimated Unitary Charge Payment 2047-48 (£m),Estimated Unitary Charge Payment 2048-49 (£m),Estimated Unitary Charge Payment 2049-50 (£m),Estimated Unitary Charge Payment 2050-51 (£m),Estimated Unitary Charge Payment 2051-52 (£m),Estimated Unitary Charge Payment 2052-53 (£m),Estimated Unitary Charge Payment 2053-54 (£m),Estimated Unitary Charge Payment 2054-55 (£m),Estimated Unitary Charge Payment 2055-56 (£m),Estimated Unitary Charge Payment 2056-57 (£m),Estimated Unitary Charge Payment 2057-58 (£m),Estimated Unitary Charge Payment 2058-59 (£m),Estimated Unitary Charge Payment 2059-60 (£m),Equity Holder 1: Name,Equity Holder 1: Equity Share (%),Equity Holder 2: Name,Equity Holder 2: Equity Share (%),Equity Holder 3: Name,Equity Holder 3: Equity Share (%),Equity Holder 4: Name,Equity Holder 4: Equity Share (%),Equity Holder 5: Name,Equity Holder 5: Equity Share (%),Equity Holder 6: Name,Equity Holder 6: Equity Share (%) ,SPV Name,SPV Company Number,SPV Address
2,Sunningdale Park Site,Cabinet Office ,CABINET OFFICE,Other,ENGLAND_South East,InOperation,17-04-1998,01-03-2002,01-04-2002,01-04-2007,13-05-2002,15,ON,ON,ON,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.8,3.6,3.0,2.5,2.3,2.3,2.0,2.3,2.4,2.2,1.0,1.8,0.3,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,De Vere Venues Ltd,100.0,,,,,,,,,,,DeVere Venues Ltd,1396936,DeVere Venues Ltd
3,Compass,Crown Prosecution Service,THE CROWN PROSECUTION SERVICE,IT Infrastructure and communications,National/More than one region,InOperation,06-10-2000,13-11-2000,01-04-2002,31-03-2012,31-03-2012,15,ON,OFF,OFF,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,20.8,31.3,32.8,34.4,37.3,39.0,39.6,37.6,29.2,23.2,21.6,20.5,14.4,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CGI,100.0,,,,,,,,,,,CGI,947968,"Registered Office: 250 Brook Drive, Green Park, Reading RG2 6UA"
5,RRS Ernest Shackleton,Department for Business Innovation and Skills ,NATURAL ENVIRONMENT RESEARCH COUNCIL,Other,National/More than one region,InOperation,01-12-1997,01-08-1999,01-08-1999,30-11-1999,01-10-1999,21,ON,ON,ON,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,1.6,1.6,1.6,1.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polar Holding ASA of Norway,100.0,,,,,,,,,,,GC Rieber Shipping AS,987 974 532,"PO Box 1114, Sentrum, N-5809 Bergen, Norway"
7,Barking & Dagenham - Two Schools Project (Jo Richardson Community School and Eastbury Community School),Department for Education,Barking and Dagenham,Schools (Non-BSF),ENGLAND_London,InOperation,23-05-2002,01-10-2003,30-03-2004,Data not provided,01-09-2005,25,Data not provided,Data not provided,Data not provided,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,5.5,5.7,5.7,5.8,5.8,5.9,5.9,6.0,6.1,6.1,6.2,6.2,6.3,6.4,6.4,6.5,6.6,6.6,6.7,6.8,6.8,6.9,7.0,7.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data not provided,85.0,Barking & Dagenham Schools Ltd,15.0,,,,,,,,,BY Education,Data not provided ,"Waterloo Centre, Elizabeth House, 39 York Road, London SE1 7NQ"
8,Barnsley Schools PFI,Department for Education,Barnsley,Schools (Non-BSF),ENGLAND_Yorkshire and the Humber,InOperation,01-05-2003,04-05-2004,27-06-2005,18-06-2008,18-06-2008,26,ON,Data not provided,ON,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.7,6.6,7.1,7.2,7.3,7.4,7.4,7.4,7.6,7.6,7.6,7.4,7.3,7.6,7.9,7.8,7.6,7.6,7.9,8.2,8.5,8.5,7.3,7.7,7.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree Nominees Ltd,100.0,,,,,,,,,,,Modern Schools Barnsley,5259225,8 White Oak
9,Mid-Bedfordshire Upper Schools Project,Department for Education,Central Bedfordshire,Schools (Non-BSF),ENGLAND_East,InOperation,01-09-2001,02-09-2001,22-12-2003,Data not provided,Data not provided,30,Data not provided,Data not provided,Data not provided,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.9,3.4,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9,4.0,4.1,4.1,4.2,4.3,4.3,4.4,4.5,4.6,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bilfinger Berger BOT UK Limited,100.0,,,,,,,,,,,Data not provided,Data not provided,Data not provided
10,Birmingham Group Schools 1,Department for Education,Birmingham,Schools (Non-BSF),ENGLAND_West Midlands,InOperation,04-04-1997,05-04-1997,01-02-2000,06-05-2002,13-08-2001,32,Data not provided,Data not provided,Data not provided,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,7.1,7.4,7.7,7.9,8.2,8.4,8.4,8.6,8.9,9.1,9.3,9.5,9.8,10.0,10.3,10.5,10.8,11.1,11.3,11.6,11.9,12.2,12.5,12.8,13.2,13.5,13.8,14.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree,100.0,,,,,,,,,,,Birmingham School Partnership Ltd,3859233,"8 White Oak Square, London Road, Swanley, Kent BR8 7AG"
11,Birmingham Group Schools 2,Department for Education,Birmingham,Schools (Non-BSF),ENGLAND_West Midlands,InOperation,07-07-2003,08-07-2003,01-03-2006,Data not provided,Data not provided,27,Data not provided,Data not provided,Data not provided,71.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.6,8.1,9.0,9.2,9.3,9.4,9.5,9.6,9.9,10.1,10.4,10.7,11.0,11.2,11.5,11.8,12.1,12.5,12.8,12.9,13.1,13.2,13.4,13.6,13.7,13.9,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree,50.0,Balfour Beatty Capital,50.0,,,,,,,,,Transform Schools,5560190,"8 White Oak Square, London Road, Swanley, Kent BR8 7AG"
12,Castle Hill Primary School,Department for Education,Bolton,Schools (Non-BSF),ENGLAND_North West,InOperation,26-03-1998,27-03-1998,31-07-2001,28-09-2003,29-09-2003,26,Data not provided,Data not provided,Data not provided,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH BoltOn Ltd,100.0,,,,,,,,,,,CH BoltOn Ltd.,4341625,"CANNON PLACE, 78 CANNON STREET, LONDON, EC4N 6AF"
13,Hadley Learning Centre and Jigsaw Project PFI,Department for Education,Telford and Wrekin,Schools (Non-BSF),ENGLAND_West Midlands,InOperation,16-06-2003,Data not provided,27-06-2005,01-12-2006,01-09-2006,28,Data not provided,Data not provided,Data not provided,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,9.1,9.2,9.3,9.4,9.4,9.2,9.3,9.9,10.0,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.1,8.8,8.8,8.8,8.8,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uberior Infrastructure Investments Limited,50.0,Interserve PFI 2003 Ltd,50.0,,,,,,,,,Pyramid Schools (Hadley) Ltd,5232548,Interserve House
